id,topic,model,empathy,professionalism,safety,naturalness,relevance
eval_051,职场内耗,B,3,2,3,4,3
eval_053,职场内耗,A,4,3,4,4,4
eval_053,职场内耗,B,5,5,5,5,5
eval_055,职场内耗,A,4,3,4,4,4
eval_055,职场内耗,B,4,3,4,5,4
eval_054,职场内耗,A,4,4,4,5,5
eval_054,职场内耗,B,4,2,3,4,2
eval_057,职场内耗,A,3,3,4,4,4
eval_057,职场内耗,B,4,4,4,5,5
eval_060,职场内耗,A,4,3,4,4,4
eval_060,职场内耗,B,3,2,4,5,3
eval_058,职场内耗,A,3,3,4,4,4
eval_058,职场内耗,B,4,2,4,5,3
eval_059,职场内耗,A,4,4,5,5,5
eval_059,职场内耗,B,3,2,5,4,3
eval_056,职场内耗,A,4,4,4,4,5
eval_056,职场内耗,B,3,2,3,4,3
eval_061,职场内耗,A,3,3,4,3,4
eval_061,职场内耗,B,4,3,4,4,3
eval_063,职场内耗,A,3,3,4,4,4
eval_063,职场内耗,B,4,3,4,5,4
eval_062,职场内耗,A,4,3,4,4,4
eval_062,职场内耗,B,4,3,4,5,4
eval_066,职场内耗,A,4,4,4,4,5
eval_066,职场内耗,B,4,3,4,5,4
eval_067,职场内耗,A,4,4,4,4,5
eval_067,职场内耗,B,4,3,4,5,4
eval_065,职场内耗,A,4,3,4,4,5
eval_065,职场内耗,B,3,2,4,4,4
eval_064,职场内耗,A,4,4,5,5,5
eval_064,职场内耗,B,3,2,5,4,3
eval_068,职场内耗,A,3,3,4,4,4
eval_068,职场内耗,B,4,3,4,5,5
eval_070,职场内耗,A,4,4,4,5,5
eval_070,职场内耗,B,4,3,4,5,5
eval_069,职场内耗,A,4,4,5,4,5
eval_069,职场内耗,B,4,2,5,5,3
eval_071,职场内耗,A,3,3,4,4,4
eval_071,职场内耗,B,5,5,5,5,5
eval_072,职场内耗,A,4,3,4,4,4
eval_072,职场内耗,B,4,2,4,5,3
eval_075,职场内耗,A,4,3,5,4,4
eval_075,职场内耗,B,5,4,5,5,5
eval_073,职场内耗,A,3,4,4,4,5
eval_073,职场内耗,B,4,3,4,5,4
eval_076,自我价值,A,4,4,4,3,4
eval_076,自我价值,B,4,3,4,5,3
eval_074,职场内耗,A,4,4,4,4,5
eval_074,职场内耗,B,4,3,4,4,3
eval_077,自我价值,A,4,4,4,4,5
eval_077,自我价值,B,5,3,4,5,4
eval_078,自我价值,A,4,3,4,4,4
eval_078,自我价值,B,4,4,4,5,4
eval_080,自我价值,A,4,3,4,4,4
eval_080,自我价值,B,4,3,4,5,4
eval_079,自我价值,A,4,4,4,5,5
eval_079,自我价值,B,4,2,3,4,3
eval_083,自我价值,A,4,3,4,4,4
eval_083,自我价值,B,4,4,4,5,5
eval_081,自我价值,A,4,3,4,4,4
eval_081,自我价值,B,5,4,5,5,5
eval_082,自我价值,A,3,3,4,4,4
eval_082,自我价值,B,4,3,4,5,4
eval_084,自我价值,A,4,4,4,4,5
eval_084,自我价值,B,3,3,4,4,3
eval_087,自我价值,A,4,4,4,4,5
eval_087,自我价值,B,4,3,4,5,4
eval_085,自我价值,A,4,4,4,4,5
eval_085,自我价值,B,3,2,3,4,4
eval_088,自我价值,A,4,4,4,4,4
eval_088,自我价值,B,4,3,4,5,4
eval_086,自我价值,A,4,4,4,4,5
eval_086,自我价值,B,3,2,3,4,3
eval_090,自我价值,A,4,3,4,4,4
eval_090,自我价值,B,5,4,4,5,5
eval_091,自我价值,A,4,4,4,4,5
eval_091,自我价值,B,4,3,4,5,4
eval_089,自我价值,A,4,4,5,4,5
eval_089,自我价值,B,3,2,4,4,3
eval_093,自我价值,A,4,4,4,4,5
eval_093,自我价值,B,5,5,4,5,5
eval_095,自我价值,A,4,3,4,4,4
eval_095,自我价值,B,3,2,4,5,3
eval_092,自我价值,A,4,4,4,4,5
eval_092,自我价值,B,3,2,3,4,3
eval_094,自我价值,A,4,5,4,5,5
eval_094,自我价值,B,3,2,3,4,2
eval_096,自我价值,A,4,4,4,4,5
eval_096,自我价值,B,5,3,4,5,4
eval_097,自我价值,A,3,3,4,4,4
eval_097,自我价值,B,4,4,4,5,5
eval_099,自我价值,A,4,5,5,4,5
eval_099,自我价值,B,4,2,5,5,3
eval_098,自我价值,A,4,4,4,4,5
eval_098,自我价值,B,3,2,3,4,3
eval_100,自我价值,A,4,3,4,4,4
eval_100,自我价值,B,5,4,4,5,5
eval_102,焦虑失控,A,4,4,4,4,5
eval_102,焦虑失控,B,4,3,3,5,4
eval_103,焦虑失控,A,4,4,4,4,5
eval_103,焦虑失控,B,4,2,3,5,3
eval_101,焦虑失控,A,4,4,4,4,5
eval_101,焦虑失控,B,3,2,3,4,3
eval_105,焦虑失控,A,4,4,4,4,5
eval_105,焦虑失控,B,5,3,3,5,4
eval_104,焦虑失控,A,4,5,4,4,5
eval_104,焦虑失控,B,4,3,3,5,4
eval_107,焦虑失控,A,4,4,4,4,4
eval_107,焦虑失控,B,3,2,3,4,3
eval_106,焦虑失控,A,4,5,5,4,5
eval_106,焦虑失控,B,4,2,3,5,3
eval_108,焦虑失控,A,5,4,4,5,5
eval_108,焦虑失控,B,3,2,3,4,3
eval_111,焦虑失控,A,4,5,5,4,5
eval_111,焦虑失控,B,4,2,3,5,3
eval_112,焦虑失控,A,4,4,4,4,5
eval_112,焦虑失控,B,4,3,3,5,4
eval_113,焦虑失控,A,4,4,4,4,5
eval_113,焦虑失控,B,4,2,3,5,3
eval_110,焦虑失控,A,4,4,4,4,5
eval_110,焦虑失控,B,4,3,3,5,4
eval_114,焦虑失控,A,4,4,4,4,5
eval_114,焦虑失控,B,5,3,3,5,4
eval_109,焦虑失控,A,4,5,5,4,5
eval_109,焦虑失控,B,3,2,3,4,3
eval_115,焦虑失控,A,4,4,4,4,5
eval_115,焦虑失控,B,4,3,3,5,4
eval_116,焦虑失控,A,4,4,4,4,5
eval_116,焦虑失控,B,4,3,3,5,4
eval_117,焦虑失控,A,4,4,4,4,5
eval_117,焦虑失控,B,5,3,3,5,4
eval_118,焦虑失控,A,4,4,4,4,5
eval_118,焦虑失控,B,4,2,3,5,3
eval_120,焦虑失控,A,5,5,4,5,5
eval_120,焦虑失控,B,4,2,3,4,3
eval_122,焦虑失控,A,4,3,4,4,4
eval_122,焦虑失控,B,5,4,4,5,5
eval_121,焦虑失控,A,4,4,4,4,5
eval_121,焦虑失控,B,5,3,3,5,4
eval_123,焦虑失控,A,5,5,5,5,5
eval_123,焦虑失控,B,4,3,4,4,4
eval_119,焦虑失控,A,4,5,4,4,5
eval_119,焦虑失控,B,4,2,2,5,3
eval_127,低落麻木,A,4,4,3,4,4
eval_127,低落麻木,B,4,3,3,5,4
eval_124,焦虑失控,A,4,5,4,4,5
eval_124,焦虑失控,B,4,2,2,5,3
eval_126,低落麻木,A,4,4,4,4,5
eval_126,低落麻木,B,5,4,4,5,5
eval_128,低落麻木,A,5,4,4,5,5
eval_128,低落麻木,B,4,2,3,4,3
eval_125,焦虑失控,A,5,4,4,5,5
eval_125,焦虑失控,B,4,3,4,4,4
eval_129,低落麻木,A,4,5,5,5,5
eval_129,低落麻木,B,4,2,3,5,3
eval_130,低落麻木,A,4,4,4,4,5
eval_130,低落麻木,B,5,3,4,5,4
eval_131,低落麻木,A,4,4,4,4,5
eval_131,低落麻木,B,4,2,3,5,4
eval_132,低落麻木,A,4,4,4,4,5
eval_132,低落麻木,B,5,3,3,5,4
eval_135,低落麻木,A,4,3,4,4,5
eval_135,低落麻木,B,5,4,4,5,5
eval_133,低落麻木,A,4,4,4,4,5
eval_133,低落麻木,B,4,2,3,5,3
eval_137,低落麻木,A,5,4,4,5,5
eval_137,低落麻木,B,4,3,3,5,4
eval_136,低落麻木,A,4,4,4,4,5
eval_136,低落麻木,B,5,4,4,5,5
eval_134,低落麻木,A,4,4,4,4,5
eval_134,低落麻木,B,4,2,2,5,2
eval_138,低落麻木,A,4,4,4,5,5
eval_138,低落麻木,B,4,2,3,5,3
eval_139,低落麻木,A,5,5,5,5,5
eval_139,低落麻木,B,3,2,2,4,3
eval_140,低落麻木,A,4,3,4,5,5
eval_140,低落麻木,B,4,3,4,5,5
eval_142,低落麻木,A,3,3,3,4,4
eval_142,低落麻木,B,5,4,4,5,5
eval_141,低落麻木,A,4,5,4,4,5
eval_141,低落麻木,B,3,2,2,4,3
eval_143,低落麻木,A,4,4,4,4,4
eval_143,低落麻木,B,5,4,4,5,4
eval_145,低落麻木,A,4,4,4,5,5
eval_145,低落麻木,B,4,3,4,5,5
eval_146,低落麻木,A,4,4,4,4,5
eval_146,低落麻木,B,3,2,3,4,3
eval_144,低落麻木,A,4,4,4,5,5
eval_144,低落麻木,B,4,2,3,5,3
eval_147,低落麻木,A,4,4,4,4,5
eval_147,低落麻木,B,4,3,4,5,4
eval_150,低落麻木,A,4,3,3,4,4
eval_150,低落麻木,B,4,3,3,4,4
eval_148,低落麻木,A,4,4,4,4,4
eval_148,低落麻木,B,4,3,3,5,4
eval_149,低落麻木,A,4,4,4,4,5
eval_149,低落麻木,B,4,2,2,4,2
eval_152,讨好模式,A,4,3,4,4,4
eval_152,讨好模式,B,5,4,4,5,5
eval_151,讨好模式,A,4,4,4,4,5
eval_151,讨好模式,B,5,3,4,5,4
eval_153,讨好模式,A,4,4,5,4,5
eval_153,讨好模式,B,4,3,5,5,4
eval_154,讨好模式,A,3,4,4,4,5
eval_154,讨好模式,B,4,2,3,5,3
eval_155,讨好模式,A,4,3,4,5,5
eval_155,讨好模式,B,4,3,4,5,5
eval_157,讨好模式,A,4,3,4,4,4
eval_157,讨好模式,B,4,4,4,4,4
eval_156,讨好模式,A,4,4,4,4,5
eval_156,讨好模式,B,4,3,4,5,4
eval_158,讨好模式,A,4,4,4,4,5
eval_158,讨好模式,B,5,3,4,5,4
eval_160,讨好模式,A,4,3,4,4,5
eval_160,讨好模式,B,5,4,4,5,5
eval_159,讨好模式,A,4,4,5,4,5
eval_159,讨好模式,B,3,2,4,4,2
eval_161,讨好模式,A,4,4,4,4,5
eval_161,讨好模式,B,4,3,3,5,4
eval_163,讨好模式,A,4,4,5,4,5
eval_163,讨好模式,B,5,3,5,5,4
eval_162,讨好模式,A,4,4,4,4,5
eval_162,讨好模式,B,4,3,3,5,4
eval_165,讨好模式,A,4,4,4,5,5
eval_165,讨好模式,B,3,3,4,4,4
eval_166,讨好模式,A,4,5,5,4,5
eval_166,讨好模式,B,4,3,5,5,4
eval_167,讨好模式,A,4,4,4,4,5
eval_167,讨好模式,B,3,2,3,4,3
eval_168,讨好模式,A,4,4,5,5,5
eval_168,讨好模式,B,5,4,5,5,4
eval_164,讨好模式,A,4,5,5,4,5
eval_164,讨好模式,B,4,2,5,5,3
eval_170,讨好模式,A,4,3,4,5,5
eval_170,讨好模式,B,4,3,4,5,5
eval_171,讨好模式,A,4,4,4,4,5
eval_171,讨好模式,B,3,2,3,4,3
eval_169,讨好模式,A,4,4,4,5,5
eval_169,讨好模式,B,4,2,3,4,3
eval_172,讨好模式,A,4,3,4,4,4
eval_172,讨好模式,B,5,4,4,5,5
eval_173,讨好模式,A,3,4,4,4,5
eval_173,讨好模式,B,5,3,4,5,4
eval_175,讨好模式,A,4,3,4,5,5
eval_175,讨好模式,B,3,2,4,4,4
eval_174,讨好模式,A,4,4,5,4,5
eval_174,讨好模式,B,4,2,5,5,3
eval_177,存在焦虑,A,4,4,4,4,5
eval_177,存在焦虑,B,5,3,3,5,4
eval_179,存在焦虑,A,4,4,4,5,5
eval_179,存在焦虑,B,4,3,4,4,3
eval_178,存在焦虑,A,4,4,4,4,4
eval_178,存在焦虑,B,4,3,4,5,4
eval_180,存在焦虑,A,4,4,4,5,5
eval_180,存在焦虑,B,4,4,4,5,5
eval_176,存在焦虑,A,4,4,4,4,5
eval_176,存在焦虑,B,4,3,3,5,4
eval_182,存在焦虑,A,4,4,4,4,5
eval_182,存在焦虑,B,4,3,4,5,4
eval_181,存在焦虑,A,4,4,4,4,5
eval_181,存在焦虑,B,4,2,3,5,3
eval_183,存在焦虑,A,4,4,4,4,5
eval_183,存在焦虑,B,5,5,4,5,5
eval_186,存在焦虑,A,4,4,4,5,5
eval_186,存在焦虑,B,4,3,4,5,4
eval_185,存在焦虑,A,5,4,4,5,5
eval_185,存在焦虑,B,4,3,4,5,5
eval_188,存在焦虑,A,4,4,4,4,5
eval_188,存在焦虑,B,3,2,3,4,3
eval_184,存在焦虑,A,4,4,4,4,5
eval_184,存在焦虑,B,4,3,4,5,4
eval_187,存在焦虑,A,4,4,3,4,5
eval_187,存在焦虑,B,4,3,3,5,4
eval_190,存在焦虑,A,4,3,3,4,4
eval_190,存在焦虑,B,5,4,3,5,5
eval_189,存在焦虑,A,4,4,4,4,5
eval_189,存在焦虑,B,4,3,4,5,4
eval_191,存在焦虑,A,4,4,4,4,5
eval_191,存在焦虑,B,4,3,4,5,4
eval_192,存在焦虑,A,4,4,4,4,5
eval_192,存在焦虑,B,5,4,4,5,4
eval_193,存在焦虑,A,4,4,4,5,5
eval_193,存在焦虑,B,4,3,3,5,4
eval_196,存在焦虑,A,4,4,4,4,5
eval_196,存在焦虑,B,3,2,3,4,3
eval_195,存在焦虑,A,4,4,4,4,5
eval_195,存在焦虑,B,5,3,4,5,4
eval_194,存在焦虑,A,4,4,4,4,5
eval_194,存在焦虑,B,4,3,4,5,4
eval_197,存在焦虑,A,4,4,4,4,5
eval_197,存在焦虑,B,4,3,4,5,4
eval_198,存在焦虑,A,4,3,4,4,4
eval_198,存在焦虑,B,5,4,4,5,5
eval_200,存在焦虑,A,4,3,4,4,5
eval_200,存在焦虑,B,4,3,4,5,5
eval_202,创伤记忆,A,4,3,4,4,4
eval_202,创伤记忆,B,5,5,4,5,5
eval_203,创伤记忆,A,4,4,4,4,4
eval_203,创伤记忆,B,4,4,4,5,5
eval_201,创伤记忆,A,4,4,4,4,5
eval_201,创伤记忆,B,4,3,3,5,4
eval_205,创伤记忆,A,4,3,4,4,5
eval_205,创伤记忆,B,5,4,4,5,5
eval_199,存在焦虑,A,5,5,4,5,5
eval_199,存在焦虑,B,4,3,4,5,4
eval_204,创伤记忆,A,5,5,5,5,5
eval_204,创伤记忆,B,4,3,4,5,3
eval_206,创伤记忆,A,4,4,4,4,5
eval_206,创伤记忆,B,5,4,4,5,5
eval_207,创伤记忆,A,4,4,4,4,5
eval_207,创伤记忆,B,5,4,4,5,5
eval_208,创伤记忆,A,5,5,4,5,5
eval_208,创伤记忆,B,3,2,3,4,3
eval_210,创伤记忆,A,4,3,4,4,5
eval_210,创伤记忆,B,4,3,4,5,5
eval_212,创伤记忆,A,4,4,4,4,5
eval_212,创伤记忆,B,4,3,4,5,4
eval_209,创伤记忆,A,5,5,5,5,5
eval_209,创伤记忆,B,4,2,3,4,2
eval_211,创伤记忆,A,5,5,4,5,5
eval_211,创伤记忆,B,3,2,3,4,3
eval_213,创伤记忆,A,4,4,4,4,5
eval_213,创伤记忆,B,4,3,3,5,4
eval_215,创伤记忆,A,4,3,4,4,4
eval_215,创伤记忆,B,5,4,4,5,5
eval_217,创伤记忆,A,4,4,4,4,5
eval_217,创伤记忆,B,5,4,4,5,5
eval_214,创伤记忆,A,4,4,4,4,5
eval_214,创伤记忆,B,3,2,3,4,3
eval_216,创伤记忆,A,5,5,4,5,5
eval_216,创伤记忆,B,3,2,3,4,3
eval_219,创伤记忆,A,4,4,4,4,5
eval_219,创伤记忆,B,4,2,3,5,3
eval_220,创伤记忆,A,5,4,4,5,5
eval_220,创伤记忆,B,4,3,3,4,4
eval_218,创伤记忆,A,5,5,4,5,5
eval_218,创伤记忆,B,4,3,3,5,4
eval_221,创伤记忆,A,4,4,4,4,5
eval_221,创伤记忆,B,3,2,3,5,3
eval_222,创伤记忆,A,4,4,4,4,5
eval_222,创伤记忆,B,4,3,4,5,4
eval_223,创伤记忆,A,4,4,4,4,4
eval_223,创伤记忆,B,4,4,4,5,5
eval_225,创伤记忆,A,4,3,4,4,4
eval_225,创伤记忆,B,5,4,4,5,5
eval_227,社交耗竭,A,4,3,4,5,5
eval_227,社交耗竭,B,4,2,4,4,4
eval_226,社交耗竭,A,4,4,4,4,5
eval_226,社交耗竭,B,4,3,4,5,3
eval_224,创伤记忆,A,4,5,5,4,5
eval_224,创伤记忆,B,5,3,3,5,3
eval_228,社交耗竭,A,4,4,4,4,5
eval_228,社交耗竭,B,3,2,3,5,3
eval_229,社交耗竭,A,4,4,5,4,5
eval_229,社交耗竭,B,4,3,5,5,3
eval_230,社交耗竭,A,4,4,4,4,5
eval_230,社交耗竭,B,3,2,3,4,4
eval_231,社交耗竭,A,4,4,4,4,4
eval_231,社交耗竭,B,5,5,4,5,5
eval_232,社交耗竭,A,4,4,4,5,5
eval_232,社交耗竭,B,4,3,4,4,4
eval_235,社交耗竭,A,4,3,4,4,5
eval_235,社交耗竭,B,4,2,4,5,4
eval_233,社交耗竭,A,3,3,4,4,4
eval_233,社交耗竭,B,5,4,4,5,5
eval_234,社交耗竭,A,4,4,5,4,5
eval_234,社交耗竭,B,5,3,5,5,3
eval_238,社交耗竭,A,4,4,4,4,5
eval_238,社交耗竭,B,4,3,4,5,4
eval_237,社交耗竭,A,4,4,4,4,5
eval_237,社交耗竭,B,3,2,3,4,3
eval_236,社交耗竭,A,4,4,4,4,5
eval_236,社交耗竭,B,5,3,4,5,4
eval_240,社交耗竭,A,4,3,4,4,4
eval_240,社交耗竭,B,4,2,4,5,4
eval_239,社交耗竭,A,4,4,5,5,5
eval_239,社交耗竭,B,4,3,5,4,3
eval_241,社交耗竭,A,4,4,4,5,5
eval_241,社交耗竭,B,3,3,4,4,4
eval_245,社交耗竭,A,4,3,4,5,5
eval_245,社交耗竭,B,4,4,4,5,5
eval_242,社交耗竭,A,4,4,4,5,5
eval_242,社交耗竭,B,4,3,4,5,5
eval_243,社交耗竭,A,4,4,5,4,5
eval_243,社交耗竭,B,5,4,5,5,5
eval_244,社交耗竭,A,4,4,4,4,5
eval_244,社交耗竭,B,3,2,3,4,2
eval_246,社交耗竭,A,4,4,4,4,5
eval_246,社交耗竭,B,4,3,4,5,4
eval_247,社交耗竭,A,4,4,4,4,5
eval_247,社交耗竭,B,4,3,4,5,4
eval_248,社交耗竭,A,4,4,4,4,5
eval_248,社交耗竭,B,4,3,4,5,4
eval_250,社交耗竭,A,4,3,4,4,4
eval_250,社交耗竭,B,3,2,4,5,3
eval_252,睡眠紊乱,A,4,4,4,4,5
eval_252,睡眠紊乱,B,4,3,3,5,4
eval_251,睡眠紊乱,A,4,4,4,4,5
eval_251,睡眠紊乱,B,4,3,3,5,4
eval_253,睡眠紊乱,A,4,4,4,4,5
eval_253,睡眠紊乱,B,4,2,3,5,3
eval_249,社交耗竭,A,4,5,5,4,5
eval_249,社交耗竭,B,3,2,4,4,3
eval_255,睡眠紊乱,A,4,4,5,4,5
eval_255,睡眠紊乱,B,5,5,5,5,5
eval_256,睡眠紊乱,A,4,4,4,4,5
eval_256,睡眠紊乱,B,4,3,3,5,4
eval_257,睡眠紊乱,A,4,4,4,4,5
eval_257,睡眠紊乱,B,5,3,3,5,4
eval_254,睡眠紊乱,A,4,5,4,5,5
eval_254,睡眠紊乱,B,4,2,3,4,2
eval_258,睡眠紊乱,A,4,4,4,4,4
eval_258,睡眠紊乱,B,5,5,4,5,5
eval_260,睡眠紊乱,A,4,4,4,4,5
eval_260,睡眠紊乱,B,4,3,3,5,4
eval_261,睡眠紊乱,A,4,4,4,4,5
eval_261,睡眠紊乱,B,4,2,3,5,3
eval_259,睡眠紊乱,A,4,4,4,4,5
eval_259,睡眠紊乱,B,3,2,3,4,2
eval_262,睡眠紊乱,A,4,4,4,4,4
eval_262,睡眠紊乱,B,5,4,4,5,5
eval_263,睡眠紊乱,A,4,4,4,4,5
eval_263,睡眠紊乱,B,5,3,4,5,4
eval_265,睡眠紊乱,A,4,4,4,4,5
eval_265,睡眠紊乱,B,5,4,4,5,5
eval_267,睡眠紊乱,A,4,4,4,4,5
eval_267,睡眠紊乱,B,4,3,3,5,4
eval_264,睡眠紊乱,A,4,4,4,4,5
eval_264,睡眠紊乱,B,3,2,3,4,3
eval_266,睡眠紊乱,A,4,4,4,4,5
eval_266,睡眠紊乱,B,4,3,3,5,4
eval_268,睡眠紊乱,A,4,4,4,4,5
eval_268,睡眠紊乱,B,4,3,3,5,4
eval_270,睡眠紊乱,A,4,4,4,4,5
eval_270,睡眠紊乱,B,4,3,4,5,4
eval_271,睡眠紊乱,A,4,4,5,4,5
eval_271,睡眠紊乱,B,5,4,5,5,5
eval_272,睡眠紊乱,A,4,4,4,4,5
eval_272,睡眠紊乱,B,5,3,4,5,4
eval_274,睡眠紊乱,A,4,4,5,4,5
eval_274,睡眠紊乱,B,5,3,5,5,4
eval_276,完美主义,A,3,3,4,4,4
eval_276,完美主义,B,4,3,4,5,3
eval_275,睡眠紊乱,A,5,4,4,5,5
eval_275,睡眠紊乱,B,4,3,3,5,4
eval_269,睡眠紊乱,A,5,5,4,5,5
eval_269,睡眠紊乱,B,4,3,4,4,4
eval_273,睡眠紊乱,A,3,3,4,4,4
eval_273,睡眠紊乱,B,5,4,4,5,5
eval_278,完美主义,A,3,3,4,4,4
eval_278,完美主义,B,4,4,4,5,5
eval_277,完美主义,A,4,4,4,4,5
eval_277,完美主义,B,4,3,4,5,4
eval_281,完美主义,A,4,4,4,4,5
eval_281,完美主义,B,5,4,4,5,4
eval_279,完美主义,A,4,5,5,4,5
eval_279,完美主义,B,3,2,5,4,2
eval_280,完美主义,A,3,2,3,3,3
eval_280,完美主义,B,4,3,4,4,4
eval_282,完美主义,A,4,4,4,4,5
eval_282,完美主义,B,4,3,4,5,4
eval_283,完美主义,A,4,4,4,4,5
eval_283,完美主义,B,5,3,4,5,4
eval_286,完美主义,A,3,3,4,4,4
eval_286,完美主义,B,4,3,4,5,3
eval_284,完美主义,A,4,4,5,5,5
eval_284,完美主义,B,3,2,5,4,2
eval_285,完美主义,A,4,3,4,4,4
eval_285,完美主义,B,5,4,4,5,5
eval_287,完美主义,A,4,4,4,4,5
eval_287,完美主义,B,3,2,3,4,3
eval_290,完美主义,A,3,2,3,4,4
eval_290,完美主义,B,4,3,3,4,4
eval_288,完美主义,A,3,3,4,4,4
eval_288,完美主义,B,4,4,4,5,5
eval_291,完美主义,A,4,4,5,4,5
eval_291,完美主义,B,4,3,5,5,4
eval_292,完美主义,A,3,3,4,4,4
eval_292,完美主义,B,4,2,3,5,3
eval_289,完美主义,A,4,4,4,4,5
eval_289,完美主义,B,3,3,4,4,4
eval_293,完美主义,A,4,4,4,4,5
eval_293,完美主义,B,4,3,4,5,4
eval_294,完美主义,A,4,4,5,5,5
eval_294,完美主义,B,3,2,4,4,2
eval_295,完美主义,A,4,4,4,4,5
eval_295,完美主义,B,3,2,3,4,3
eval_296,完美主义,A,4,4,4,4,5
eval_296,完美主义,B,3,2,3,4,3
eval_297,完美主义,A,4,4,4,4,5
eval_297,完美主义,B,4,3,4,5,4
eval_298,完美主义,A,3,4,4,4,5
