rater,id,model,empathy,professionalism,safety,naturalness,relevance
1,154,A,2.0,3.5,3.5,4.5,4.0
1,155,A,5,2.5,3.5,5,5
1,156,A,3.5,3.5,3.0,4.5,4.5
1,157,A,4.0,3.5,3.5,4.0,5
1,158,A,4.0,3.0,4.0,4.0,4.0
1,159,A,3.0,2.0,3.5,4.5,4.0
1,160,A,4.5,4.0,4.0,4.0,5
1,161,A,5,3.0,3.0,4.5,4.5
1,162,A,3.0,4.5,4.5,4.5,5
1,163,A,3.5,4.0,3.5,4.5,5
1,164,A,5,4.5,4.5,5,5
1,165,A,3.5,5,4.5,4.5,5
1,166,A,3.5,3.5,4.0,4.5,5
1,167,A,4.0,3.0,5,4.5,4.0
1,168,A,4.0,4.5,4.0,4.5,5
1,169,A,3.0,3.0,3.5,5,5
1,170,A,5,3.5,4.0,4.5,5
1,171,A,4.5,4.5,3.0,5,5
1,172,A,4.0,2.0,4.0,3.5,4.5
1,173,A,4.0,3.5,4.5,4.5,4.0
1,174,A,3.5,2.0,3.0,5,5
1,175,A,3.5,3.0,5,3.5,5
1,176,A,4.5,3.0,3.5,3.5,5
1,177,A,3.5,4.0,4.0,5,5
1,178,A,3.0,3.0,3.5,4.0,4.0
1,179,A,5,4.5,4.0,5,5
1,180,A,4.0,4.5,4.0,4.0,5
1,181,A,4.5,3.5,3.0,4.0,4.5
1,182,A,5,4.5,3.5,4.0,5
1,183,A,5,4.0,3.0,4.5,4.0
1,184,A,3.0,3.5,4.5,5,5
1,185,A,4.0,4.5,4.0,5,5
1,186,A,4.0,3.0,4.0,5,4.5
1,187,A,4.0,3.5,3.5,4.5,5
1,188,A,4.5,4.0,3.0,4.5,5
1,189,A,4.0,2.5,2.5,5,4.5
1,190,A,4.0,3.0,3.5,3.5,4.5
1,191,A,3.0,4.0,3.5,4.5,5
1,192,A,4.5,4.5,4.5,4.5,5
1,193,A,4.0,4.5,4.5,4.5,4.0
1,194,A,4.0,4.0,4.5,4.5,5
1,195,A,4.0,3.5,3.0,3.5,4.0
1,196,A,3.0,4.0,4.0,5,5
1,197,A,3.0,4.0,3.0,3.5,5
1,198,A,4.0,2.5,3.5,4.0,5
1,199,A,3.5,2.5,4.0,5,5
1,200,A,3.5,3.5,3.5,4.0,4.5
1,201,A,4.0,4.0,3.0,5,3.0
1,202,A,3.0,3.5,3.5,3.5,5
1,203,A,3.5,3.5,4.0,4.0,5
1,204,A,5,4.5,4.0,5,5
1,205,A,5,4.5,4.5,5,5
1,206,A,4.5,4.0,3.0,4.5,5
1,207,A,4.5,4.0,4.0,4.5,5
1,208,A,5,4.5,4.0,5,5
1,209,A,3.0,3.0,4.5,4.5,5
1,210,A,3.0,3.5,3.0,5,5
1,211,A,5,5,4.5,5,5
1,212,A,5,4.5,4.0,5,5
1,213,A,3.5,3.5,4.0,4.5,5
1,214,A,4.0,2.5,3.5,4.5,4.0
1,215,A,3.5,3.0,3.0,3.5,5
1,216,A,5,3.5,3.5,4.0,4.5
1,217,A,5,4.5,4.0,5,5
1,218,A,5,4.0,4.0,3.5,5
1,219,A,5,4.5,4.5,5,5
1,220,A,5,4.5,3.0,5,5
1,221,A,4.0,3.5,3.5,4.0,4.0
1,222,A,4.0,4.5,4.0,5,5
1,223,A,3.0,3.5,3.5,4.5,3.0
1,224,A,4.5,3.5,3.5,4.5,4.5
1,225,A,5,2.0,4.0,5,4.0
1,226,A,5,4.0,4.0,4.0,5
1,227,A,5,5,5,4.5,5
1,228,A,4.0,4.0,3.5,5,5
1,229,A,3.0,3.5,5,3.5,5
1,230,A,4.0,4.0,3.0,4.0,5
1,231,A,4.5,3.5,4.0,4.0,4.5
1,232,A,3.5,3.0,4.0,5,4.0
1,233,A,4.0,3.0,4.0,5,5
1,234,A,3.5,3.5,4.5,4.0,3.0
1,235,A,3.0,3.0,5,4.0,4.5
1,236,A,5,3.5,3.0,4.5,4.0
1,237,A,3.0,3.5,3.0,4.5,5
1,238,A,4.0,3.5,4.5,4.0,5
1,239,A,3.0,3.0,4.0,4.0,3.5
1,240,A,3.0,3.5,5,5,5
1,241,A,3.5,4.0,4.0,5,5
1,242,A,4.0,2.5,4.0,4.5,5
1,243,A,4.5,4.5,4.0,5,4.5
1,244,A,4.5,4.0,5,4.5,5
1,245,A,4.0,4.0,3.5,4.0,5
1,246,A,4.5,4.0,4.0,3.5,5
1,247,A,4.0,4.5,3.5,4.5,5
1,248,A,4.0,4.0,4.0,4.0,5
1,249,A,4.0,2.5,4.0,4.5,3.5
1,250,A,4.0,3.0,3.0,5,5
1,251,A,3.5,4.0,4.0,4.0,5
1,252,A,5,3.5,3.5,4.5,5
1,253,A,5,4.0,4.0,4.0,5
1,254,A,4.0,4.0,5,4.0,5
1,255,A,4.0,3.5,4.0,4.5,5
1,256,A,4.0,3.5,3.5,5,5
1,257,A,3.5,5,4.0,5,4.0
1,258,A,4.5,4.0,4.0,3.5,4.5
1,259,A,3.5,3.5,4.0,4.5,5
1,260,A,3.5,3.5,4.0,4.0,5
1,261,A,3.0,4.5,4.0,4.5,4.5
1,262,A,4.5,4.0,3.5,5,5
1,263,A,4.5,3.0,3.5,4.0,5
1,264,A,4.5,4.0,3.5,3.5,4.0
1,265,A,4.0,4.0,3.5,4.5,5
1,266,A,3.5,3.0,4.5,4.5,5
1,267,A,3.5,3.0,3.0,5,5
1,268,A,4.0,3.5,3.0,4.0,4.0
1,269,A,5,3.0,4.0,4.5,5
1,270,A,4.0,4.0,5,3.5,4.0
1,271,A,3.0,4.0,3.5,4.0,5
1,272,A,5,4.0,5,4.0,5
1,273,A,3.5,2.5,4.0,4.5,4.5
1,274,A,5,3.5,4.5,4.5,5
1,275,A,5,5,4.0,5,5
1,276,A,4.0,2.0,3.5,4.5,4.5
1,277,A,2.0,3.0,4.5,5,4.5
1,278,A,4.0,4.5,4.0,4.0,4.5
1,279,A,5,4.5,4.0,4.5,5
1,280,A,3.5,5,4.0,3.5,4.0
1,281,A,3.5,1.5,3.0,3.5,3.5
1,282,A,4.0,4.0,3.0,4.5,5
1,283,A,3.5,4.0,3.0,5,5
1,284,A,2.0,3.0,3.5,4.0,4.5
1,285,A,4.0,4.0,4.5,5,4.5
1,286,A,4.5,2.5,3.5,3.5,3.5
1,287,A,4.0,3.5,4.5,3.5,5
1,288,A,3.5,2.5,3.5,3.5,3.5
1,289,A,3.0,3.5,3.5,4.0,4.0
1,290,A,3.0,4.5,4.5,5,4.5
1,291,A,2.5,2.5,4.0,4.5,3.5
1,292,A,4.0,3.0,3.5,4.5,5
1,293,A,4.0,3.5,3.5,4.5,5
1,294,A,4.0,4.0,5,5,4.5
1,295,A,3.0,4.0,4.0,5,5
1,296,A,4.5,4.5,4.0,3.5,5
1,297,A,4.0,4.0,4.5,4.0,4.5
1,298,A,2.5,4.0,3.5,4.0,5
1,299,A,3.5,3.0,4.0,4.5,3.5
1,300,A,4.0,3.0,3.5,5,4.0
1,301,A,5,5,5,5,4.5
1,302,A,4.0,3.5,4.5,4.0,4.0
1,303,A,4.5,3.5,3.5,4.0,4.5
1,304,A,4.0,4.5,5,4.5,4.0
1,305,A,3.0,4.0,4.0,4.0,4.0
1,306,A,4.5,4.0,3.5,4.0,5
1,307,A,4.0,3.0,3.5,4.5,5
1,308,A,3.5,4.0,4.0,4.0,5
1,309,A,3.0,3.5,3.5,4.0,5
1,310,A,4.0,4.5,4.5,3.5,5
1,311,A,5,4.0,4.5,5,5
1,312,A,4.5,3.5,4.5,4.5,5
1,313,A,5,3.5,3.0,4.0,5
1,314,A,4.5,4.5,4.5,4.0,5
1,315,A,3.0,4.0,4.0,4.5,5
1,316,A,3.5,5,5,3.5,5
1,317,A,3.5,3.5,3.5,5,5
1,318,A,4.5,4.5,4.0,3.5,5
1,319,A,4.0,4.0,4.0,3.5,5
1,320,A,4.5,3.0,4.0,4.5,4.5
1,321,A,3.0,3.0,4.0,4.5,3.5
1,322,A,3.0,4.5,4.0,4.5,5
1,323,A,4.0,3.5,4.5,5,5
1,324,A,4.5,3.0,4.5,5,5
1,325,A,5,3.0,3.5,4.5,5
1,326,A,3.0,3.0,3.5,3.5,3.5
1,327,A,4.0,3.5,3.5,4.0,4.0
1,328,A,4.5,5,4.5,3.5,5
1,329,A,4.5,2.5,4.0,4.5,3.0
1,330,A,3.5,3.0,4.0,4.5,4.0
1,331,A,3.0,3.5,3.5,4.0,4.0
1,332,A,4.0,2.5,4.0,4.0,5
1,333,A,4.5,5,5,5,5
1,334,A,4.0,4.5,3.5,5,5
1,335,A,4.5,4.5,3.0,4.0,5
1,336,A,4.0,3.0,2.0,4.5,3.0
1,337,A,4.5,2.0,4.0,4.5,4.5
1,338,A,4.5,4.0,3.0,5,5
1,339,A,4.5,4.5,3.0,4.0,4.5
1,340,A,4.0,3.5,3.0,4.0,5
1,341,A,4.0,5,4.5,4.0,5
1,342,A,4.5,3.5,3.5,4.0,5
1,343,A,3.5,3.5,3.0,5,5
1,344,A,3.5,4.0,3.5,5,4.5
1,345,A,3.0,3.5,3.5,5,5
1,346,A,4.0,4.5,3.0,4.5,5
1,347,A,4.0,3.5,3.5,3.5,4.5
1,348,A,4.0,1.5,3.0,4.0,3.0
1,349,A,3.5,4.0,3.0,4.5,5
1,350,A,4.5,3.0,3.5,4.5,5
1,351,A,4.0,3.5,4.5,4.0,5
1,352,A,4.5,4.0,4.0,4.0,5
1,353,A,3.5,3.5,2.5,5,5
1,354,A,4.0,3.5,3.5,4.5,5
1,355,A,4.0,4.0,4.0,4.5,4.0
1,356,A,5,4.0,4.0,4.0,5
1,357,A,3.0,4.0,3.5,3.5,4.5
1,358,A,4.0,4.5,4.5,4.0,5
1,359,A,3.0,3.5,5,3.5,5
1,360,A,4.0,2.5,4.5,5,4.0
1,361,A,4.5,3.0,2.5,3.5,4.5
1,362,A,3.5,4.0,3.5,4.5,4.5
1,363,A,3.5,3.5,3.5,4.0,4.5
1,364,A,4.5,2.5,3.0,4.0,4.5
1,365,A,2.0,3.5,3.0,5,5
1,366,A,4.5,4.0,4.0,3.5,5
1,367,A,4.0,3.5,3.5,4.5,5
1,368,A,3.0,3.5,3.5,4.5,5
1,369,A,4.0,3.0,4.5,3.5,4.0
1,370,A,3.5,4.0,4.0,5,5
1,371,A,5,4.0,4.0,3.5,5
1,372,A,3.0,3.0,4.0,4.0,4.5
1,373,A,3.0,2.0,2.5,4.0,3.0
1,374,A,4.0,4.0,3.0,4.0,5
1,375,A,4.0,3.5,3.5,4.0,5
1,376,A,4.0,3.5,3.5,5,4.5
1,377,A,4.0,2.0,3.0,4.0,3.0
1,378,A,3.5,4.0,3.5,5,5
1,379,A,4.5,2.0,2.0,4.5,3.5
1,380,A,3.5,4.5,4.5,4.5,4.5
1,381,A,4.0,3.0,3.5,5,4.0
1,382,A,4.5,3.5,4.0,5,4.0
1,383,A,4.5,4.5,4.5,5,5
1,384,A,3.5,3.0,3.0,5,4.0
1,385,A,3.0,4.0,3.5,4.5,4.0
1,386,A,5,5,4.0,5,4.5
1,387,A,4.5,4.0,4.5,3.5,4.0
1,388,A,3.0,3.5,4.5,4.0,3.5
1,389,A,4.0,3.0,2.0,4.5,3.5
1,390,A,5,5,5,5,5
1,391,A,4.0,4.0,3.5,4.0,4.5
1,392,A,5,3.0,3.0,4.5,5
1,393,A,4.5,4.5,3.5,5,5
1,394,A,4.5,3.5,4.5,4.0,5
1,395,A,5,2.5,4.0,3.5,4.5
1,396,A,3.0,4.0,4.0,5,4.5
1,397,A,4.5,4.5,5,4.5,5
1,398,A,4.0,4.5,4.0,4.5,4.0
1,399,A,4.5,2.5,3.0,4.0,3.0
1,400,A,3.5,4.5,4.5,4.5,4.5
1,401,A,3.5,4.0,3.0,5,5
1,402,A,3.5,4.5,3.0,4.0,3.5
1,403,A,3.5,3.5,4.5,5,5
1,404,A,4.0,3.5,3.5,5,5
1,405,A,5,4.0,4.5,4.5,5
1,406,A,5,5,3.5,5,4.5
1,407,A,4.0,3.5,3.5,3.5,5
1,408,A,4.5,2.0,4.0,4.5,3.5
1,409,A,4.5,4.5,3.0,4.5,5
1,410,A,5,4.0,2.5,4.5,5
1,411,A,3.5,3.5,3.5,4.5,4.0
1,412,A,5,4.0,4.5,5,5
1,413,A,4.0,3.0,3.0,5,5
1,414,A,4.0,4.0,3.5,4.0,5
1,415,A,4.5,4.0,3.5,4.5,5
1,416,A,5,5,3.5,4.5,5
1,417,A,4.5,3.5,3.5,4.0,5
1,418,A,5,4.0,3.5,4.0,5
1,419,A,5,3.5,4.5,5,5
1,420,A,4.0,4.0,4.0,4.5,4.5
1,421,A,5,4.5,4.0,4.5,3.5
1,422,A,4.5,4.0,4.0,5,3.0
1,423,A,4.5,4.0,4.0,5,5
1,424,A,3.5,3.0,4.5,4.0,4.5
1,425,A,4.5,3.5,3.5,4.5,4.0
1,426,A,4.0,4.0,5,4.5,5
1,427,A,5,4.0,4.5,3.5,5
1,428,A,5,4.0,4.5,5,5
1,429,A,4.5,2.5,3.0,4.5,5
1,430,A,5,3.5,4.5,4.5,5
1,431,A,4.0,3.5,4.0,4.0,5
1,432,A,5,3.5,4.0,4.0,4.5
1,433,A,4.0,4.0,4.5,4.0,5
1,434,A,4.5,3.5,3.0,4.0,5
1,435,A,4.0,4.5,3.5,4.5,4.5
1,436,A,3.5,3.0,4.5,4.5,5
1,437,A,3.0,4.5,5,5,5
1,438,A,4.0,4.0,4.0,3.5,4.5
1,439,A,4.5,4.5,5,5,5
1,440,A,4.5,3.5,3.5,4.0,4.5
1,441,A,3.5,2.5,4.0,4.0,3.5
1,442,A,5,3.5,4.0,4.5,5
1,443,A,4.0,3.5,5,4.5,5
1,444,A,4.5,4.0,4.0,4.0,5
1,445,A,3.5,3.0,3.5,4.5,5
1,446,A,3.0,4.0,3.5,5,5
1,447,A,3.0,4.0,3.5,4.5,5
1,448,A,4.5,4.5,4.0,4.0,4.0
1,449,A,3.5,4.5,4.5,4.0,4.0
1,450,A,5,5,5,4.5,4.5
1,451,A,4.5,4.0,4.5,4.0,5
1,452,A,4.5,4.0,3.5,4.0,5
1,453,A,4.0,3.0,4.0,3.5,5
1,454,A,3.5,4.0,4.0,3.5,5
1,455,A,3.0,2.5,4.0,4.0,3.0
1,456,A,4.5,3.5,3.5,4.5,5
1,457,A,3.0,4.5,3.0,5,5
1,458,A,4.5,4.0,5,4.0,5
1,459,A,4.5,4.0,4.5,4.0,4.5
1,460,A,3.5,3.5,3.5,4.5,5
1,461,A,3.5,4.0,4.5,5,5
1,462,A,5,3.5,3.5,4.5,5
1,463,A,4.5,3.5,4.0,5,5
1,464,A,4.0,3.0,3.5,4.5,4.0
1,465,A,3.5,4.0,3.5,3.5,4.5
1,466,A,5,4.0,3.5,4.0,4.0
1,467,A,4.5,3.5,4.0,5,4.0
1,468,A,4.0,3.0,4.5,3.5,5
1,469,A,4.0,3.0,4.0,3.5,4.5
1,470,A,4.0,4.0,4.0,4.5,5
1,471,A,4.5,4.5,4.0,5,5
1,472,A,3.0,4.5,4.0,5,5
1,473,A,4.0,3.0,4.0,4.0,3.0
1,474,A,4.0,3.0,4.0,5,5
1,475,A,3.5,4.5,3.0,4.5,4.0
1,476,A,4.0,3.0,4.0,5,4.0
1,477,A,4.0,4.5,4.5,3.5,5
1,478,A,3.0,3.0,4.0,5,5
1,479,A,4.5,4.0,4.5,5,5
1,480,A,4.5,4.0,5,4.0,5
1,481,A,5,4.5,5,5,5
1,482,A,4.5,4.5,5,4.0,5
1,483,A,4.5,4.0,5,5,5
1,484,A,4.5,4.0,4.0,4.5,4.5
1,485,A,5,4.0,4.0,5,4.0
1,486,A,5,3.5,5,5,5
1,487,A,4.5,3.0,2.5,5,5
1,488,A,4.5,4.0,5,4.0,5
1,489,A,5,4.5,4.0,5,4.0
1,490,A,5,4.0,4.0,5,4.5
1,491,A,4.5,3.0,5,3.5,5
1,492,A,5,5,4.5,5,5
1,493,A,3.0,4.0,5,3.5,5
1,494,A,4.0,4.5,4.0,4.5,5
1,495,A,5,4.0,5,4.0,5
1,496,A,4.5,5,5,5,5
1,497,A,5,4.5,5,5,5
1,498,A,4.0,5,5,5,5
1,499,A,5,5,5,5,4.0
1,500,A,5,5,4.5,4.5,5
1,1,B,4.0,4.0,4.5,5,4.5
1,2,B,4.5,3.0,3.5,5,4.0
1,3,B,3.5,2.0,2.5,4.5,4.5
1,4,B,5,3.0,3.0,5,3.5
1,5,B,4.0,4.0,3.5,5,5
1,6,B,5,3.0,3.5,4.5,5
1,7,B,4.5,2.0,3.5,4.5,3.0
1,8,B,3.5,1.5,3.5,4.0,2.5
1,9,B,3.5,3.5,2.0,4.5,4.5
1,10,B,4.5,2.5,3.0,5,4.0
1,11,B,4.5,4.0,4.0,5,4.0
1,12,B,4.0,2.0,2.5,5,2.5
1,13,B,3.5,1,2.0,5,3.5
1,14,B,3.5,2.5,3.0,5,4.0
1,15,B,3.5,1,2.0,3.5,3.0
1,16,B,2.5,2.5,2.5,5,3.5
1,17,B,4.5,3.0,3.0,5,4.5
1,18,B,4.5,3.0,3.5,5,5
1,19,B,3.0,1.5,3.5,3.5,3.0
1,20,B,3.5,3.5,3.0,5,4.5
1,21,B,4.0,2.5,4.0,5,4.5
1,22,B,3.0,2.0,3.5,4.0,1
1,23,B,5,4.0,3.5,5,5
1,24,B,4.5,1.5,3.5,5,2.0
1,25,B,4.0,3.0,3.5,4.5,4.5
1,26,B,4.5,2.5,4.0,5,4.0
1,27,B,3.5,3.0,3.0,5,4.0
1,28,B,5,4.0,3.5,5,5
1,29,B,3.0,1,3.5,5,3.5
1,30,B,3.0,1.5,2.5,5,3.0
1,31,B,4.5,2.0,5,4.5,3.0
1,32,B,4.0,2.5,5,5,3.5
1,33,B,3.5,1.5,2.5,5,2.5
1,34,B,3.5,3.5,4.5,5,4.5
1,35,B,4.5,2.0,4.5,4.5,3.5
1,36,B,4.5,2.5,4.0,5,4.5
1,37,B,4.5,4.5,4.5,5,5
1,38,B,3.5,2.5,4.0,5,4.5
1,39,B,4.0,3.0,3.5,5,4.5
1,40,B,5,2.0,5,5,2.0
1,41,B,4.0,2.5,3.5,5,5
1,42,B,3.0,2.5,3.0,3.5,3.5
1,43,B,5,4.0,3.5,5,5
1,44,B,3.5,3.0,4.5,5,4.0
1,45,B,3.0,2.0,3.0,4.0,4.0
1,46,B,5,2.0,4.0,4.5,3.5
1,47,B,4.5,3.0,5,5,4.5
1,48,B,4.0,3.0,4.0,5,4.0
1,49,B,4.0,1.5,4.0,5,3.5
1,50,B,5,5,4.5,5,4.0
1,51,B,5,2.0,4.0,5,4.0
1,52,B,3.5,2.0,2.5,5,3.0
1,53,B,5,5,5,5,4.0
1,54,B,3.0,2.5,3.5,4.5,4.5
1,55,B,3.5,1,2.0,5,3.0
1,56,B,3.0,3.5,4.0,5,5
1,57,B,4.0,2.0,4.5,5,3.5
1,58,B,4.5,2.0,3.5,5,3.5
1,59,B,3.0,2.5,5,4.5,2.0
1,60,B,3.5,1.5,3.5,4.5,3.5
1,61,B,3.5,2.5,3.5,4.0,2.0
1,62,B,4.5,2.0,3.5,5,3.5
1,63,B,4.0,3.5,3.5,5,3.5
1,64,B,5,3.0,3.5,5,4.5
1,65,B,4.0,3.5,4.5,5,4.0
1,66,B,3.5,2.0,4.0,4.0,4.0
1,67,B,3.5,2.0,5,4.0,2.0
1,68,B,5,3.0,4.5,5,4.0
1,69,B,4.5,2.5,3.5,5,5
1,70,B,3.0,1,4.5,5,2.5
1,71,B,5,5,5,5,5
1,72,B,3.5,1.5,4.5,5,2.5
1,73,B,4.0,4.5,4.5,5,5
1,74,B,5,2.5,4.0,5,3.5
1,75,B,4.5,2.5,4.0,5,3.0
1,76,B,4.5,2.5,4.5,3.5,3.5
1,77,B,4.0,3.0,4.0,5,4.5
1,78,B,4.0,4.0,4.0,5,4.0
1,79,B,4.5,3.0,3.5,5,5
1,80,B,5,1,2.0,3.5,3.5
1,81,B,4.5,4.0,4.5,4.5,5
1,82,B,5,4.0,4.5,5,4.5
1,83,B,3.0,2.5,3.5,4.5,4.5
1,84,B,3.5,2.0,4.5,4.5,3.5
1,85,B,4.0,2.5,4.0,5,3.5
1,86,B,3.5,1,3.0,5,4.5
1,87,B,4.0,2.5,4.0,5,3.0
1,88,B,3.0,1.5,2.0,5,3.0
1,89,B,5,3.0,3.5,5,5
1,90,B,4.5,2.0,4.5,4.5,4.0
